# Exact commits the analysis in docs/ was drawn from. Regenerated by scripts/sync-refs.ps1.
# To reproduce a conclusion: clone the repo and `git checkout <sha>`.
dir	repo	tier	sha	size_mb	synced
beads	gastownhall/beads	0	0e069115a231c537a83bb77a5106fe7c0efb47f2	30.7	2026-07-30
gascity	gastownhall/gascity	0	97503b28310852443888c151f29d661f80c1a361	84.2	2026-07-30
metaswarm	dsifry/metaswarm	0	33d39f776f7fe29098dcf048955756a237e8cb40	2.6	2026-07-30
orca-virtuslab	VirtusLab/orca	0	f44c6d37f40a9b4f467ca846d975ddceaf5cb510	7.6	2026-07-30
bernstein	sipyourdrink-ltd/bernstein	1	33f48e44beac469854552c03118b8147f17191f2	102	2026-07-30
cao	awslabs/cli-agent-orchestrator	1	4cc40b182d259f8a370ec3f70fb00a0d67b7844d	33.4	2026-07-30
conductor-ms	microsoft/conductor	1	f6b227a9d306be7f891d2314db6f5ecdc7090e1c	19.5	2026-07-30
gastown	gastownhall/gastown	1	649b832b7672bc7a2dbef26f5983aba6198b819b	28.5	2026-07-30
agentapi	coder/agentapi	2	9ff117e231822f670305254ef24f6389f75953f4	2.2	2026-07-30
forge	ForgeAILab/forge	2	5fb76c312993f61ca1c1a2e62d802c77ca7b7830	31.3	2026-07-30
humanlayer	humanlayer/humanlayer	2	99abe673498cf8bdcd5f989aebe9406a27185b3b	22.7	2026-07-30
orca-stably	stablyai/orca	2	ab665a3ce70967857778dcc7d3ced7e596ee9f3f	209.1	2026-07-30
stoneforge	stoneforge-ai/stoneforge	2	0a7052a9ffa1fb42fafbff9d9b6b83fa48cdad95	179.4	2026-07-30
tutti	tutti-os/tutti	2	fca9132f773f4924516ec6f407913ae222cb8676	214.8	2026-07-30
vibe-kanban	BloopAI/vibe-kanban	2	4deb7eca8f381f7cbc1f9d15515a9ab8f8009053	134.9	2026-07-30
